model,accuracy,macro_f1
mlp_classifier,0.5071428571428571,0.5054376257638571
linear_svm,0.48214285714285715,0.4809240562318761
logistic_regression,0.4714285714285714,0.46914285819799245
random_forest,0.33214285714285713,0.32370335704042436
